Year,Sector,Subsector,Organization,Property Name,Primary Property Type - Self Selected,Portfolio Manager Property ID,Portfolio Manager Parent Property ID,Parent Property Name,Year Ending,Address,City,Postal Code,Property GFA - Self-Reported (m²),Number of Buildings,Custom Property ID 1 - Name,Custom Property ID 1 - Value,Custom Property ID 2 - Name,Custom Property ID 2 - Value,Custom Property ID 3 - Name,Custom Property ID 3 - Value,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (GJ),Natural Gas Use (therms),Natural Gas Use (GJ),Fuel Oil #1 Use (GJ),Fuel Oil #2 Use (GJ),Fuel Oil #4 Use (GJ),Fuel Oil #5 & 6 Use (GJ),Diesel Use (GJ),Kerosene Use (GJ),Propane Use (GJ),District Steam Use (GJ),District Hot Water Use (GJ),District Chilled Water Use (GJ),Wood Use (GJ),Site Energy Use (GJ),Source Energy Use (GJ),Site EUI (GJ/m²),Site EUI (ekWh/sqft),Source EUI (GJ/m²),Source EUI (ekWh/sqft),Weather Normalized Site Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Weather Normalized Site EUI (GJ/m²),Weather Normalized Site EUI (ekWh/sqft),Weather Normalized Source EUI (GJ/m²),Weather Normalized Source EUI (ekWh/sqft),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Total (Location-Based) GHG Emissions Intensity (kgCO2e/m²),Drinking Water Treatment & Distribution - Average Flow (m³PD),Wastewater Treatment Plant - Average Influent Flow (m³PD),Address 2,List of All Property Use Types (GFA) (m²),Largest Property Use Type,Report Submission Date,Data Quality Checker Run?,Data Quality Checker - Date Run
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #91,Fire Station,3634451,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,7801 Bayview Avenue,Thornhill,L3T 7N1,775.6,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,117164.2,421.8,6528.4,688.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1110.6,1502,1.43,36.90322581,1.94,50.06451613,1236.6,1635.5,1.59,41.03225806,2.11,54.4516129,37.9,48.9,Not Available,Not Available,Not Available,Fire Station (775.6),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #92,Fire Station,3634452,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,10 Riviera Dr,Markham,L3R 5M1,1431.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223028.3,802.9,13833,1459.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2262.3,3016.3,1.58,40.77419355,2.11,54.4516129,2559.4,3337.6,1.79,46.19354839,2.33,60.12903226,79.6,55.6,Not Available,Not Available,Not Available,Fire Station (1431.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #93,Fire Station,3634453,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,2930 MAJOR MACKENZIE DR E,Markham,L6C 0J1,1006.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,158233,569.6,720.8,76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,645.7,1123,0.64,16.51612903,1.12,28.90322581,667.7,1163.2,0.66,17.03225806,1.16,29.93548387,8.3,8.2,Not Available,Not Available,Not Available,Fire Station (1006.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #94,Fire Station,3634454,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,7300 Birchmount,Markham,L3R 3T1,663.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97678.5,351.6,6222.2,656.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1008.1,1339.3,1.52,39.22580645,2.02,52.12903226,1111.8,1448.6,1.68,43.35483871,2.18,56.25806452,35.7,53.9,Not Available,Not Available,Not Available,Fire Station (663.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #95,Fire Station,3634455,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,316 Main Street,Unionville,L3R 2H2,1100.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,134095.7,482.7,10246.1,1081,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1563.7,2029.3,1.42,36.64516129,1.84,47.48387097,1742,2218.2,1.58,40.77419355,2.02,52.12903226,58.1,52.8,Not Available,Not Available,Not Available,Fire Station (1100.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #96,Fire Station,3634456,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,"5567 14th Avenue, Milliken",Markham,L3S 3K5,829.9,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87425.1,314.7,7008.8,739.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1054.2,1359.8,1.27,32.77419355,1.64,42.32258065,1167.7,1480.1,1.41,36.38709677,1.78,45.93548387,39.6,47.7,Not Available,Not Available,Not Available,Fire Station (829.9),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #97,Fire Station,3634457,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,"209 Main Street, Markham",Markham,L3P 1Y4,712.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67550.1,243.2,4602.6,485.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,728.8,959.7,1.02,26.32258065,1.35,34.83870968,792.9,1027.7,1.11,28.64516129,1.44,37.16129032,26.3,36.9,Not Available,Not Available,Not Available,Fire Station (712.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #98,Fire Station,3634458,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,"650 Bur Oak Avenue, Markham",Markham,L6E 1C3 ?,873.3,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,141421.4,509.1,11352.9,1197.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1706.9,2201.3,1.95,50.32258065,2.52,65.03225806,1901.6,2407.8,2.18,56.25806452,2.76,71.22580645,64.2,73.5,Not Available,Not Available,Not Available,Fire Station (873.3),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,Fire Station #99,Fire Station,3634459,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,"3255 Bur Oak Avenue, Markham",Markham,L6B 1E3,1006.5,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90431.6,325.5,189.3,20,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,753.8,Not Available,296.5,Not Available,1395.8,1788.5,1.39,35.87096774,1.78,45.93548387,1433.1,1850.9,1.42,36.64516129,1.84,47.48387097,71.6,71.2,Not Available,Not Available,Not Available,Fire Station (1006.5),Fire Station,6/30/24 10:33 PM,No,Not Available
2023,Municipal,Municipality,The Corporation of the City of Markham,John Street Fire Training Centre,Fire Station,3634460,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2023,438 John Street,Thornhill,L3T 1Z1,513.8,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55716.7,200.6,4168.3,439.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,640.4,833.2,1.25,32.25806452,1.62,41.80645161,716.5,925.7,1.39,35.87096774,1.8,46.4516129,23.7,46.1,Not Available,Not Available,Not Available,Fire Station (513.8),Fire Station,6/30/24 10:33 PM,No,Not Available
